USERNAME,PASSWORD,ADDRESS1,ADDRESS2,FULLNAME,CREDITCARD,EXPDATE
user55,pwd55,Port Sabrynastad,Quigleyport,user55 pwd55,6117148227774820,04/19
user56,pwd56,Port Rowlandtown,Gaylordview,user56 pwd56,2185036906514270,12/16
user57,pwd57,Port Andrewton,Port Sunnymouth,user57 pwd57,4108494829079200,08/02
user58,pwd58,Lake Eddiemouth,Lake Ivory,user58 pwd58,1156032726849050,08/13
user59,pwd59,North Pierce,Krajcikchester,user59 pwd59,8148773080868490,05/31
user60,pwd60,Wilhelminefort,Wehnershire,user60 pwd60,8939261637441540,05/01
user61,pwd61,Port Clairberg,New Freida,user61 pwd61,8431049401627090,06/09
user62,pwd62,Port Jodyburgh,Davisview,user62 pwd62,5993798826777890,03/16
user63,pwd63,East Julia,New Kiannastad,user63 pwd63,2358287457159570,03/22
user64,pwd64,East Malvinastad,Port Tryciaside,user64 pwd64,8687128943249650,08/25
user65,pwd65,East Retafort,Lake Elsa,user65 pwd65,7225702519627660,01/02
user66,pwd66,Roderickburgh,North Woodrowfort,user66 pwd66,5619866231993480,01/11
user67,pwd67,New Arlofort,New Bennie,user67 pwd67,7099317625652750,11/02
user68,pwd68,Port Kayceestad,Zulaufton,user68 pwd68,6105019764626740,04/21
user69,pwd69,South Magali,Lake Erlingfurt,user69 pwd69,2890248362069130,07/23
user70,pwd70,Boganhaven,South Minervashire,user70 pwd70,3951833782993630,02/04
user71,pwd71,Alexamouth,Coreneport,user71 pwd71,5380773231537660,01/27
user72,pwd72,New Anaside,East Marciamouth,user72 pwd72,4509649618395710,09/28
user73,pwd73,Claudiaville,Danykastad,user73 pwd73,4635108275707740,01/17
user74,pwd74,Turcotteburgh,East Merrittbury,user74 pwd74,2452792889696450,06/04
user75,pwd75,New Carolyn,Pasqualeside,user75 pwd75,5037108838967260,03/15
user76,pwd76,Maidaside,West Aaliyah,user76 pwd76,8721890271609940,09/14
user77,pwd77,West Karlie,Boehmland,user77 pwd77,7768871178880230,05/09
user78,pwd78,Lake Melissaview,Lehnerside,user78 pwd78,5878900753456050,10/23
user79,pwd79,West Valerie,West Cleo,user79 pwd79,4017641919597880,09/13
user80,pwd80,Nealstad,Wolfstad,user80 pwd80,6390712947469160,08/05
user81,pwd81,Breitenbergshire,Wymantown,user81 pwd81,7552729990915260,01/01
user82,pwd82,Johannhaven,Durganberg,user82 pwd82,1719656024176600,04/21
user83,pwd83,East Nathanielport,Port Bernadettetown,user83 pwd83,2271204289392580,06/22
user84,pwd84,Roobport,Port Rosa,user84 pwd84,2455703931591340,12/01
user85,pwd85,Port Hildegard,East Leonorside,user85 pwd85,7082725163770430,06/19
user86,pwd86,Juanitahaven,West Leila,user86 pwd86,1790055037897430,01/20
user87,pwd87,Eleanorefurt,Baileyside,user87 pwd87,1335216631061200,05/16
user88,pwd88,North Wendyton,Lake Humbertochester,user88 pwd88,8560853106784360,02/17
user89,pwd89,Townetown,North Danyka,user89 pwd89,5969955293561280,10/27
user90,pwd90,New Arnoldo,Litteltown,user90 pwd90,5366793685286540,02/24
user91,pwd91,New Terrill,Borerhaven,user91 pwd91,5926248881495760,05/21
user92,pwd92,Pagacfort,West Pink,user92 pwd92,3717727959074160,06/26
user93,pwd93,Lake Carlohaven,New Estellborough,user93 pwd93,3707611910063570,09/29
user94,pwd94,Lehnermouth,Koreyfurt,user94 pwd94,4354856153572770,05/07
user95,pwd95,New Shanyborough,Lake Kailee,user95 pwd95,4827670648140390,04/19
user96,pwd96,New Oletown,Walterfurt,user96 pwd96,6692065532452370,09/14
user97,pwd97,Lake Alexandro,Lake Isabelle,user97 pwd97,6459387665202540,12/31
user98,pwd98,New Kayliefort,West Pinkbury,user98 pwd98,3212614913427910,05/15
user99,pwd99,South Rebeka,New Imabury,user99 pwd99,1956625062438340,11/16
user100,pwd100,New Jensenshire,West Ronaldoberg,user100 pwd100,8612996075946010,10/24

